DATE,CZAT,CZAT_peak,ATCZ,ATCZ_peak
2020-03-21 22:05:00,4.1190579612e+09,4.1190579612e+09,1.7898807617e+10,1.7898807617e+10
2020-03-21 22:10:00,4.3628213930e+09,4.3628213930e+09,1.6251219700e+10,1.6251219700e+10
2020-03-21 22:15:00,3.7439375425e+09,3.7439375425e+09,1.4733102041e+10,1.4733102041e+10
2020-03-21 22:20:00,5.0309464445e+09,5.0309464445e+09,1.6148806403e+10,1.6148806403e+10
2020-03-21 22:25:00,5.4991222966e+09,5.4991222966e+09,1.5222678408e+10,1.5222678408e+10
2020-03-21 22:30:00,3.7599095273e+09,3.7599095273e+09,1.4524879574e+10,1.4524879574e+10
2020-03-21 22:35:00,4.3547690318e+09,4.3547690318e+09,1.7832813314e+10,1.7832813314e+10
2020-03-21 22:40:00,4.1288146343e+09,4.1288146343e+09,1.3979122348e+10,1.3979122348e+10
2020-03-21 22:45:00,3.5802425431e+09,3.5802425431e+09,1.4500277006e+10,1.4500277006e+10
2020-03-21 22:50:00,4.5557721555e+09,4.5557721555e+09,1.6335811885e+10,1.6335811885e+10
2020-03-21 22:55:00,4.9387766940e+09,4.9387766940e+09,1.9307110214e+10,1.9307110214e+10
2020-03-21 23:00:00,4.5803097818e+09,4.5803097818e+09,1.6020387784e+10,1.6020387784e+10
2020-03-21 23:05:00,8.7192538294e+09,8.7192538294e+09,1.9476141457e+10,1.9476141457e+10
2020-03-21 23:10:00,1.0520130835e+10,1.0520130835e+10,1.4669402711e+10,1.4669402711e+10
2020-03-21 23:15:00,5.5540102792e+09,5.5540102792e+09,1.9006920846e+10,1.9006920846e+10
2020-03-21 23:20:00,5.0311775151e+09,5.0311775151e+09,1.6954236009e+10,1.6954236009e+10
2020-03-21 23:25:00,4.0207898772e+09,4.0207898772e+09,1.2711151248e+10,1.2711151248e+10
2020-03-21 23:30:00,3.0042357393e+09,3.0042357393e+09,1.2983908303e+10,1.2983908303e+10
2020-03-21 23:35:00,4.5190553449e+09,4.5190553449e+09,1.9169965089e+10,1.9169965089e+10
2020-03-21 23:40:00,3.9501948418e+09,3.9501948418e+09,1.4733987408e+10,1.4733987408e+10
2020-03-21 23:45:00,2.8807314908e+09,2.8807314908e+09,1.3867683491e+10,1.3867683491e+10
2020-03-21 23:50:00,4.1125553419e+09,4.1125553419e+09,1.4214787649e+10,1.4214787649e+10
2020-03-21 23:55:00,3.2722389412e+09,3.2722389412e+09,1.3540060059e+10,1.3540060059e+10
2020-03-22 00:00:00,3.9822787437e+09,3.9822787437e+09,1.3717413402e+10,1.3717413402e+10
2020-03-22 00:05:00,4.4264743966e+09,4.4264743966e+09,1.6594741795e+10,1.6594741795e+10
2020-03-22 00:10:00,3.5839036739e+09,3.5839036739e+09,1.2059537794e+10,1.2059537794e+10
2020-03-22 00:15:00,3.0892737038e+09,3.0892737038e+09,1.2747754365e+10,1.2747754365e+10
2020-03-22 00:20:00,2.3085032825e+09,2.3085032825e+09,1.3560172429e+10,1.3560172429e+10
2020-03-22 00:25:00,2.7193620022e+09,2.7193620022e+09,1.3952221924e+10,1.3952221924e+10
2020-03-22 00:30:00,3.7827637725e+09,3.7827637725e+09,1.3021175358e+10,1.3021175358e+10
2020-03-22 00:35:00,3.0240134142e+09,3.0240134142e+09,1.6444208150e+10,1.6444208150e+10
2020-03-22 00:40:00,3.4652337695e+09,3.4652337695e+09,1.3228708589e+10,1.3228708589e+10
2020-03-22 00:45:00,3.4019289185e+09,3.4019289185e+09,1.2865844517e+10,1.2865844517e+10
2020-03-22 00:50:00,3.9831260332e+09,3.9831260332e+09,1.2834822463e+10,1.2834822463e+10
2020-03-22 00:55:00,3.1482219778e+09,3.1482219778e+09,1.2271630384e+10,1.2271630384e+10
2020-03-22 01:00:00,2.7589188434e+09,2.7589188434e+09,1.3338228579e+10,1.3338228579e+10
2020-03-22 01:05:00,2.4987177557e+09,2.4987177557e+09,1.6690950592e+10,1.6690950592e+10
2020-03-22 01:10:00,2.7255802469e+09,2.7255802469e+09,1.1553654687e+10,1.1553654687e+10
2020-03-22 01:15:00,2.4324930690e+09,2.4324930690e+09,1.1943736949e+10,1.1943736949e+10
2020-03-22 01:20:00,4.0535555572e+09,4.0535555572e+09,1.3264999073e+10,1.3264999073e+10
2020-03-22 01:25:00,3.7586046916e+09,3.7586046916e+09,1.2290397721e+10,1.2290397721e+10
2020-03-22 01:30:00,7.1238264222e+09,7.1238264222e+09,1.5218304942e+10,1.5218304942e+10
2020-03-22 01:35:00,4.6498587570e+09,4.6498587570e+09,1.8324070082e+10,1.8324070082e+10
2020-03-22 01:40:00,4.0347674949e+09,4.0347674949e+09,1.5575190701e+10,1.5575190701e+10
2020-03-22 01:45:00,3.4766277072e+09,3.4766277072e+09,1.3746399997e+10,1.3746399997e+10
2020-03-22 01:50:00,4.0892666328e+09,4.0892666328e+09,1.3262956429e+10,1.3262956429e+10
2020-03-22 01:55:00,3.4664757031e+09,3.4664757031e+09,1.1834107478e+10,1.1834107478e+10
2020-03-22 02:00:00,2.6886587889e+09,2.6886587889e+09,1.3051080307e+10,1.3051080307e+10
2020-03-22 02:05:00,2.5864540508e+09,2.5864540508e+09,1.4353403099e+10,1.4353403099e+10
2020-03-22 02:10:00,2.3579626354e+09,2.3579626354e+09,1.5346119189e+10,1.5346119189e+10
2020-03-22 02:15:00,2.7351557269e+09,2.7351557269e+09,1.1986586290e+10,1.1986586290e+10
2020-03-22 02:20:00,3.9853393424e+09,3.9853393424e+09,1.0758085514e+10,1.0758085514e+10
