"Title:","mx1.sof.bg - Traffic - ae7 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | sof-vie"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","21125"
"Host ID:","205"
"Nth Percentile:","12222596664","|95:bits:0:current:2|"
"Nth Percentile:","4247689777.84","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-21 22:05:00","1.4083903492e+10","1.4083903492e+10","2.0039976909e+09","2.0039976909e+09"
"2020-03-21 22:10:00","1.4141895776e+10","1.4141895776e+10","2.2765642442e+09","2.2765642442e+09"
"2020-03-21 22:15:00","1.4108262356e+10","1.4108262356e+10","2.0403804878e+09","2.0403804878e+09"
"2020-03-21 22:20:00","1.3245342174e+10","1.3245342174e+10","2.2579956465e+09","2.2579956465e+09"
"2020-03-21 22:25:00","1.1949781031e+10","1.1949781031e+10","2.7057403521e+09","2.7057403521e+09"
"2020-03-21 22:30:00","1.1215598573e+10","1.1215598573e+10","2.4571909382e+09","2.4571909382e+09"
"2020-03-21 22:35:00","1.1559452553e+10","1.1559452553e+10","2.7475233576e+09","2.7475233576e+09"
"2020-03-21 22:40:00","1.1049431474e+10","1.1049431474e+10","2.9016641204e+09","2.9016641204e+09"
"2020-03-21 22:45:00","9.8293287778e+09","9.8293287778e+09","2.6740158827e+09","2.6740158827e+09"
"2020-03-21 22:50:00","8.5579976066e+09","8.5579976066e+09","1.9725637825e+09","1.9725637825e+09"
"2020-03-21 22:55:00","7.9145909622e+09","7.9145909622e+09","2.6550751054e+09","2.6550751054e+09"
"2020-03-21 23:00:00","6.0606727937e+09","6.0606727937e+09","3.5311681144e+09","3.5311681144e+09"
"2020-03-21 23:05:00","5.1060178037e+09","5.1060178037e+09","5.6118451867e+09","5.6118451867e+09"
"2020-03-21 23:10:00","5.0818469626e+09","5.0818469626e+09","4.4845538954e+09","4.4845538954e+09"
"2020-03-21 23:15:00","8.0843189935e+09","8.0843189935e+09","2.8822433041e+09","2.8822433041e+09"
"2020-03-21 23:20:00","9.2443199524e+09","9.2443199524e+09","2.6154958763e+09","2.6154958763e+09"
"2020-03-21 23:25:00","5.2388336449e+09","5.2388336449e+09","2.7908533816e+09","2.7908533816e+09"
"2020-03-21 23:30:00","4.7300146371e+09","4.7300146371e+09","2.3300453677e+09","2.3300453677e+09"
"2020-03-21 23:35:00","6.2487197203e+09","6.2487197203e+09","2.4920210143e+09","2.4920210143e+09"
"2020-03-21 23:40:00","7.5136906757e+09","7.5136906757e+09","2.2352366744e+09","2.2352366744e+09"
"2020-03-21 23:45:00","5.9681213248e+09","5.9681213248e+09","1.8297655646e+09","1.8297655646e+09"
"2020-03-21 23:50:00","6.5438804670e+09","6.5438804670e+09","2.6339823999e+09","2.6339823999e+09"
"2020-03-21 23:55:00","6.4096134236e+09","6.4096134236e+09","2.5498838043e+09","2.5498838043e+09"
"2020-03-22 00:00:00","6.5526818071e+09","6.5526818071e+09","2.5879830550e+09","2.5879830550e+09"
"2020-03-22 00:05:00","6.1012170015e+09","6.1012170015e+09","3.7326470867e+09","3.7326470867e+09"
"2020-03-22 00:10:00","5.5999481233e+09","5.5999481233e+09","3.1153061133e+09","3.1153061133e+09"
"2020-03-22 00:15:00","6.4886618835e+09","6.4886618835e+09","2.9143176907e+09","2.9143176907e+09"
"2020-03-22 00:20:00","5.5262822238e+09","5.5262822238e+09","1.5901834498e+09","1.5901834498e+09"
